,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2364,Mini Cooper Convertible S,2012,17000,Petrol,Automatic,Second,16.82 kmpl,1998 CC,189.08 bhp,4.0,22000.0
2762,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2012,49000,Diesel,Automatic,Second,14.84 kmpl,2143 CC,167.62 bhp,5.0,19250.0
552,Maruti Swift Dzire VXi,2010,109200,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,2200.0
1170,Maruti Swift Dzire VXi,2011,58075,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,2950.0
5706,Chevrolet Cruze LTZ,2018,52073,Diesel,Manual,Second,18.3 kmpl,1991 CC,147.9 bhp,5.0,9870.0
4042,Maruti Celerio VXI AT,2014,18500,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,3950.0
5191,Ford Endeavour 2.2 Titanium AT 4X2,2019,9000,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7.0,32900.0
5233,Maruti Ritz VDI (ABS) BS IV,2015,75000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,4900.0
5133,Tata Zest Revotron 1.2 XT,2015,27000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,5270.0
338,Tata Manza ELAN Quadrajet BS IV,2012,73000,Diesel,Manual,First,21.12 kmpl,1248 CC,88.8 bhp,5.0,3400.0
2869,Volkswagen CrossPolo 1.5 TDI,2014,75160,Diesel,Manual,First,20.14 kmpl,1498 CC,88.5 bhp,5.0,5700.0
1998,Hyundai Xcent 1.2 VTVT SX,2014,64241,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5.0,3670.0
3527,Hyundai Verna 1.4 EX,2012,93000,Diesel,Manual,First,23.5 kmpl,1396 CC,88.7 bhp,5.0,5550.0
2247,Maruti Swift Dzire VXI,2014,33485,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,3590.0
4306,Hyundai i10 Era 1.1,2008,82203,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,1800.0
5790,Toyota Innova 2.5 V Diesel 7-seater,2011,112000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,8500.0
891,Honda Amaze S i-Dtech,2015,48000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,4500.0
4190,Volkswagen Vento 1.2 TSI Highline AT,2016,55001,Petrol,Automatic,Second,16.93 kmpl,1197 CC,103.2 bhp,5.0,8500.0
479,Renault Duster 85PS Diesel RxL Option,2015,67000,Diesel,Manual,Second,19.87 kmpl,1461 CC,83.8 bhp,5.0,7000.0
1145,Mahindra XUV500 W8 4WD,2013,116694,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,9570.0
5692,Mercedes-Benz S Class 2005 2013 S 300 L,2013,80000,Petrol,Automatic,First,13.0 kmpl,2987 CC,210 bhp,5.0,25000.0
2955,Maruti Ertiga ZDI,2012,40000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,7000.0
3975,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,2016,45000,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,34000.0
987,Maruti Wagon R LXI DUO BSIII,2008,64226,LPG,Manual,First,17.3 km/kg,1061 CC,57.5 bhp,5.0,1450.0
251,Hyundai Accent CRDi,2006,160538,Diesel,Manual,First,13.1 kmpl,1493 CC,82 bhp,5.0,1800.0
2930,Nissan Micra Diesel XV,2011,123880,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,3300.0
5915,Chevrolet Enjoy Petrol LS 7 Seater,2014,18000,Petrol,Manual,First,13.7 kmpl,1399 CC,98.82 bhp,7.0,3350.0
4661,Mercedes-Benz GLA Class 200 CDI SPORT,2015,35000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,20990.0
5972,Hyundai Santro Xing GL,2008,65000,Petrol,Manual,Second,0.0 kmpl,1086 CC,62 bhp,5.0,1390.0
2422,Jaguar XJ 3.0L Portfolio,2016,12000,Diesel,Automatic,First,10.5 kmpl,2993 CC,271.23 bhp,4.0,79000.0
580,Honda City i DTEC VX Option,2017,45366,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,10880.0
3089,Honda Accord 2.4 MT,2010,47000,Petrol,Manual,Second,12.8 kmpl,2354 CC,177.6 bhp,5.0,3500.0
2564,Maruti Swift Dzire VDI,2014,67557,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,5170.0
3449,Volkswagen Polo Petrol Highline 1.2L,2013,74000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,4650.0
2023,Renault Duster 110PS Diesel RxL,2014,73557,Diesel,Manual,First,19.6 kmpl,1461 CC,108.45 bhp,5.0,7750.0
2746,Maruti Eeco 7 Seater Standard,2011,45000,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7.0,2250.0
5696,Mercedes-Benz GLA Class 200 CDI SPORT,2016,60000,Diesel,Automatic,Second,17.9 kmpl,2143 CC,136 bhp,5.0,17550.0
5271,Maruti Celerio ZXI Optional AMT,2018,12278,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,5630.0
454,Toyota Innova 2.5 V Diesel 7-seater,2015,80883,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,13500.0
480,Land Rover Range Rover Evoque 2.0 TD4 Pure,2015,24000,Diesel,Automatic,Second,15.68 kmpl,1999 CC,177 bhp,5.0,33500.0
4805,Mahindra XUV500 W8 2WD,2012,47629,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,6500.0
4201,Volkswagen Polo Diesel Trendline 1.2L,2011,77000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,2900.0
3959,Maruti Celerio ZXI AT Optional,2016,64000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,4200.0
4783,Renault Duster 85PS Diesel RxL,2013,66314,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,5500.0
518,Maruti Wagon R LXI,2012,30000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,3300.0
4216,Maruti Wagon R VXI,2015,43053,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,4650.0
5980,Hyundai i20 2015-2017 Magna,2010,80561,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,2740.0
5072,Chevrolet Cruze LTZ AT,2016,67774,Diesel,Automatic,First,14.81 kmpl,1998 CC,163.7 bhp,5.0,8950.0
773,Maruti Ritz VXi,2011,50000,Petrol,Manual,Second,18.5 kmpl,1197 CC,85.80 bhp,5.0,1500.0
367,Maruti Alto 800 2016-2019 LXI,2018,26200,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,2900.0
4676,Audi A4 35 TDI Technology Edition,2015,30000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,27000.0
5211,Mahindra Bolero ZLX,2017,68557,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7.0,8140.000000000001
5620,Hyundai Grand i10 Asta Option AT,2017,17489,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,5990.0
5740,BMW X5 xDrive 30d M Sport,2017,21000,Diesel,Automatic,Second,15.97 kmpl,2993 CC,258 bhp,5.0,55000.0
833,Hyundai i20 1.4 Asta Option,2017,43000,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5.0,8200.0
2267,Toyota Qualis RS E2,2004,215750,Diesel,Manual,Second,0.0 kmpl,2446 CC,null bhp,10.0,3500.0
460,Hyundai i20 2015-2017 Asta 1.2,2016,6800,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,7200.0
5333,Maruti Ertiga VDI,2012,63001,Diesel,Manual,Second,20.77 kmpl,1248 CC,88.76 bhp,7.0,6110.0
2909,Hyundai Santro Xing GLS,2008,95291,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,2300.0
883,Hyundai i10 Magna 1.1,2014,58472,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,3410.0
4324,Honda Jazz 1.5 V i DTEC,2016,35000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,5500.0
3402,Hyundai i20 Sportz Option Diesel,2012,42600,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,4990.0
5684,Maruti Baleno Zeta,2018,33150,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,7390.0
3189,Hyundai Santro GS zipDrive - Euro II,2002,67000,Petrol,Manual,Third,0.0 kmpl,999 CC,null bhp,5.0,1200.0
1559,Maruti SX4 ZDI Leather,2012,90000,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,5.0,3810.0
5884,Maruti Swift Dzire VDI,2014,28000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,4650.0
4555,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,25000,Diesel,Automatic,Second,14.84 kmpl,2143 CC,167.62 bhp,5.0,21000.0
5957,Honda City 1.5 EXI,2004,186679,Petrol,Manual,Second,13.0 kmpl,1493 CC,100 bhp,5.0,1760.0
612,Chevrolet Aveo U-VA 1.2 LT,2010,64236,Petrol,Manual,First,14.7 kmpl,1150 CC,76 bhp,5.0,2440.0
3876,Honda Accord VTi-L AT,2009,65462,Petrol,Automatic,Third,11.1 kmpl,2354 CC,142 bhp,5.0,3500.0
1123,BMW 7 Series 2007-2012 740Li,2008,66000,Petrol,Automatic,Second,8.45 kmpl,2979 CC,321 bhp,5.0,10750.0
2725,Skoda Rapid 1.6 MPI AT Style,2017,13412,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.52 bhp,5.0,9190.0
4591,Audi A4 35 TDI Technology Edition,2019,38163,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,32910.0
3845,Hyundai Verna VTVT 1.6 SX,2012,32542,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,5770.0
2255,Maruti Alto 800 2016-2019 LXI,2016,60000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,2650.0
5821,Maruti Swift ZXI ABS,2012,78212,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5.0,5350.0
1916,Mercedes-Benz E-Class 200 Kompressor Elegance,2004,85000,Petrol,Automatic,Second,10.5 kmpl,1796 CC,157.7 bhp,5.0,5500.0
5532,Hyundai i20 1.2 Magna,2011,63991,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,3610.0
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,23320.0
5041,Maruti Swift Dzire ZDI,2017,14000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,7500.0
4646,Maruti Celerio VXI AT,2014,46559,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,3750.0
2454,Hyundai Creta 1.6 SX Option,2016,29477,Petrol,Manual,First,15.8 kmpl,1591 CC,121.3 bhp,5.0,10250.0
2514,Hyundai Santro Xing GLS,2010,35008,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,1360.0
2873,Volkswagen Polo 1.5 TDI Highline,2014,81298,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,6500.0
4502,Audi Q7 3.0 TDI Quattro Premium Plus,2015,50000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,47500.0
3240,Maruti Swift LXI,2013,60000,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,3150.0
5269,Hyundai Santa Fe 4X4,2012,58200,Diesel,Manual,First,14.66 kmpl,2199 CC,194.3 bhp,7.0,7500.0
133,Maruti Alto K10 VXI,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,2600.0
1012,Toyota Innova Crysta 2.4 GX MT,2017,67489,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,16500.0
2433,Ford Figo Diesel ZXI,2011,60000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,2250.0
285,Honda City 1.5 V AT,2009,78442,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5.0,3570.0
3349,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,2010,130923,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,12500.0
4634,Tata Indica Vista Quadrajet 90 ZX Plus,2012,27000,Diesel,Manual,First,22.3 kmpl,1248 CC,88.8 bhp,5.0,3500.0
3434,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,22500.0
4951,Hyundai i10 Sportz,2009,48000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,2110.0
4438,Maruti Alto 800 2016-2019 LXI Optional,2019,3000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,3500.0
1599,Volkswagen Polo 1.5 TDI Comfortline,2016,29000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,4000.0
230,Tata Indica V2 DLS BSII,2007,200000,Diesel,Manual,Second,17.2 kmpl,1396 CC,53.5 bhp,5.0,850.0
485,Maruti Ritz VDi,2011,91000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,3000.0
3922,Hyundai Santro Xing GL Plus,2012,79000,Petrol,Manual,Second,17.92 kmpl,1086 CC,62.1 bhp,5.0,1600.0
1384,Maruti Ritz LXi,2016,62000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,3200.0
5289,Renault Pulse Petrol RxL,2016,40190,Petrol,Manual,First,18.06 kmpl,1198 CC,74.93 bhp,5.0,4250.0
785,Maruti Wagon R VXI BS IV,2010,81245,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,2450.0
4795,BMW 3 Series Luxury Line,2018,21936,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,37920.0
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,60000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,7900.0
4731,Nissan Micra Active XV,2018,24000,Petrol,Manual,First,19.69 kmpl,1198 CC,67.04 bhp,5.0,4000.0
3808,Ford Endeavour 2.5L 4X2,2010,154000,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,7.0,7990.0
4141,Maruti Wagon R CNG LXI,2014,47200,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5.0,2850.0
5646,Maruti Ciaz ZDi Plus SHVS,2015,52000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,6900.0
5746,Hyundai Santro Xing GLS,2009,42000,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,1450.0
4970,BMW 5 Series 2003-2012 525d,2011,101999,Diesel,Automatic,First,16.73 kmpl,1995 CC,218 bhp,5.0,19990.0
908,Maruti Swift Dzire VXI,2013,38623,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,5000.0
4081,Hyundai i10 Sportz 1.2 AT,2013,15200,Petrol,Automatic,Second,16.95 kmpl,1197 CC,78.9 bhp,5.0,3850.0
774,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,2013,94000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,8850.0
3687,Volkswagen Polo GT TSI,2017,50534,Petrol,Automatic,First,17.21 kmpl,1197 CC,103.5 bhp,5.0,8270.0
3019,Honda City i DTEC V,2015,77000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,6980.0
3115,Ford Endeavour 3.2 Trend AT 4X4,2016,90000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7.0,26000.0
3844,Hyundai i20 1.2 Sportz,2016,19008,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,5250.0
2357,Mercedes-Benz CLA 200 Sport Edition,2016,25000,Petrol,Automatic,First,15.04 kmpl,1991 CC,183 bhp,5.0,26000.0
2593,Audi Q7 35 TDI Quattro Technology,2015,21000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,52500.0
2172,Mahindra XUV500 W6 2WD,2016,67995,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,11730.0
425,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2017,23163,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,12030.0
3352,Renault KWID RXT,2016,12500,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,3000.0
2018,Maruti Ciaz ZDi SHVS,2016,50000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,8500.0
2589,Maruti Wagon R VXI AMT,2016,8000,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5.0,4150.0
3475,Mahindra Xylo D4 BS III,2015,129750,Diesel,Manual,Second,14.95 kmpl,2489 CC,93.7 bhp,7.0,6800.0
709,Honda City 1.3 EXI S,2011,100000,Petrol,Manual,First,13.0 kmpl,1343 CC,90 bhp,5.0,3500.0
2483,Toyota Innova 2.5 V Diesel 7-seater,2011,72000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,7100.0
5953,Ford Figo Diesel EXI,2012,140000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,2510.0
2110,Tata Indigo CS Emax CNG GLX,2014,41000,CNG,Manual,First,24.6 km/kg,1193 CC,55.23 bhp,5.0,3250.0
2084,Audi A4 2.0 TDI,2013,45200,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,13500.0
2401,Volvo XC90 2007-2015 D5 AWD,2014,89230,Diesel,Manual,First,11.1 kmpl,2400 CC,200 bhp,7.0,23650.0
529,Toyota Fortuner 3.0 Diesel,2010,100000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,13000.0
2139,Land Rover Range Rover Evoque 2.0 TD4 Pure,2016,29022,Diesel,Automatic,Second,15.68 kmpl,1999 CC,177 bhp,5.0,34080.0
5763,Honda City i VTEC V,2015,24398,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,7900.0
26,Nissan Micra Diesel XV,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,4250.0
5596,Chevrolet Optra Magnum 2.0 LT,2008,83000,Diesel,Manual,Second,16.52 kmpl,1991 CC,123.7 bhp,5.0,2600.0
4254,Ford Figo Aspire 1.5 Ti-VCT Titanium,2015,28843,Petrol,Automatic,First,17.01 kmpl,1499 CC,110.5 bhp,5.0,5490.0
227,Maruti Swift VDI BSIV,2013,47000,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5.0,4100.0
868,Hyundai Grand i10 AT Asta,2015,61717,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,5570.0
1843,Hyundai i10 Sportz 1.2,2009,68000,Petrol,Manual,Third,20.36 kmpl,1197 CC,78.9 bhp,5.0,1950.0
509,Mahindra XUV500 AT W8 FWD,2015,34000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7.0,13000.0
1822,Mahindra KUV 100 mFALCON D75 K4 Plus 5str,2017,10500,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,5.0,4700.0
5992,Skoda Superb Elegance 1.8 TSI AT,2011,42036,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,6250.0
4073,Tata Indica V2 DLG TC,2006,133000,Diesel,Manual,Second,16.8 kmpl,1405 CC,68 bhp,5.0,860.0
3656,Chevrolet Spark 1.0 LT,2012,11000,Petrol,Manual,First,16.2 kmpl,995 CC,62.1 bhp,5.0,1400.0
2870,Honda Amaze E i-Vtech,2014,44753,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,4940.0
5597,Hyundai i10 Asta,2011,86000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,3750.0
907,Maruti Ritz VDi,2010,79324,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,3300.0
2881,Skoda Rapid 1.5 TDI AT Elegance,2016,46630,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,8590.0
5578,Volkswagen Polo Diesel Trendline 1.2L,2011,55476,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,2490.0
670,Maruti Ciaz ZXi,2014,49500,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,6000.0
4564,Hyundai Xcent 1.1 CRDi Base,2014,60000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,3900.0
934,Toyota Etios GD,2012,60000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,2950.0
3529,Maruti Swift VXI,2012,48772,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,3910.0
5946,BMW 5 Series 2013-2017 530d M Sport,2016,16000,Diesel,Automatic,First,14.69 kmpl,2993 CC,258 bhp,5.0,48000.0
880,Maruti Celerio VXI Optional AMT,2017,7500,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,5000.0
5927,Audi Q5 3.0 TDI Quattro Technology,2018,29091,Diesel,Automatic,First,13.22 kmpl,2967 CC,241.4 bhp,5.0,45520.0
1506,Chevrolet Optra Magnum 1.6 LT ABS BS3,2012,56000,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5.0,2150.0
5223,Honda City 1.5 S MT,2014,57000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,5480.0
4829,Honda Amaze S i-Dtech,2014,71000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5.0,4500.0
5423,Hyundai Santa Fe 4x4 AT,2016,36000,Diesel,Automatic,First,11.72 kmpl,2199 CC,194.3 bhp,7.0,23000.0
1167,Hyundai i20 1.2 Magna,2010,65000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,3000.0
1221,Ambassador Classic Nova Diesel,2003,80000,Diesel,Manual,Third,12.8 kmpl,1489 CC,35.5 bhp,5.0,1350.0
4172,Maruti Swift Dzire LXI,2014,56510,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,3900.0
2813,Honda City i DTEC VX,2014,74000,Diesel,Manual,Second,25.1 kmpl,1498 CC,98.6 bhp,5.0,6400.0
4825,Hyundai Creta 1.6 VTVT S,2016,40000,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,11500.0
685,Maruti Ritz VDi,2012,146824,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,3550.0
490,Honda CR-V 2.4L 4WD AT,2004,78000,Petrol,Automatic,First,12.0 kmpl,2354 CC,187.4 bhp,5.0,3990.0
4710,Hyundai i20 Magna,2010,95000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5.0,2800.0
2731,Maruti Swift Dzire VDi,2009,90000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,3000.0
1568,Land Rover Discovery Sport TD4 HSE 7S,2017,40000,Diesel,Automatic,First,12.81 kmpl,1999 CC,148.31 bhp,7.0,41500.0
2285,Honda Amaze S i-Vtech,2015,52513,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,4650.0
5617,Volkswagen Polo 1.5 TDI Highline,2018,39861,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,7380.0
684,Hyundai i20 Asta 1.4 CRDi,2015,86157,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,6500.0
2243,Mercedes-Benz M-Class ML 250 CDI,2016,52000,Diesel,Automatic,First,15.26 kmpl,2143 CC,203.2 bhp,5.0,35000.0
945,Hyundai Elantra CRDi SX,2015,53615,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,8440.0
3977,Maruti Swift Lxi BSIII,2011,70000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5.0,1300.0
47,Toyota Innova Crysta 2.7 GX MT,2012,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7.0,10950.0
2461,Nissan Terrano XV 110 PS,2015,54000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.5 bhp,5.0,6000.0
268,Maruti A-Star Vxi,2010,67000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,2000.0
1558,Volkswagen Ameo 1.2 MPI Highline,2017,22389,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,7230.0
98,Maruti Wagon R VXI BS IV,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,4450.0
5416,Land Rover Range Rover Vogue SE 4.4 SDV8,2013,75995,Diesel,Automatic,Second,11.49 kmpl,4367 CC,335.3 bhp,5.0,65810.0
890,Maruti Swift Dzire ZDI,2014,25789,Diesel,Manual,Second,23.4 kmpl,1248 CC,74 bhp,5.0,6850.0
403,Maruti Wagon R LXI BSIII,2013,53000,Petrol,Manual,First,14.0 kmpl,1061 CC,64 bhp,5.0,2750.0
78,Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,11750.0
698,Ford Figo Diesel ZXI,2010,100002,Diesel,Manual,Third,20.0 kmpl,1399 CC,68 bhp,5.0,1280.0
1850,Hyundai i10 Era 1.1,2008,85445,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,2000.0
5693,Chevrolet Beat Diesel LS,2015,66000,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5.0,2350.0
1557,Honda City i DTec SV,2015,33000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,7000.0
3884,Nissan Micra XL,2013,30000,Petrol,Manual,First,18.44 kmpl,1198 CC,75 bhp,5.0,3250.0
2378,Honda Mobilio S i DTEC,2017,50808,Diesel,Manual,Second,24.2 kmpl,1498 CC,98.6 bhp,7.0,6680.0
5864,Renault Duster 110PS Diesel RxZ,2014,70000,Diesel,Manual,First,19.6 kmpl,1461 CC,108.45 bhp,5.0,8250.0
4443,Chevrolet Spark 1.0 LS,2007,42100,Petrol,Manual,First,18.0 kmpl,995 CC,62 bhp,5.0,990.0
2845,Hyundai i20 Sportz 1.2,2013,40300,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,2800.0
4028,Mercedes-Benz CLA 200 CGI Sport,2016,40000,Petrol,Automatic,First,15.04 kmpl,1991 CC,183 bhp,5.0,24500.0
930,Maruti Zen Estilo 1.1 LXI BSIII,2007,60000,Petrol,Manual,Second,18.2 kmpl,1061 CC,64 bhp,5.0,1650.0
3506,Maruti Wagon R VXI BS IV,2012,40000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,2350.0
1764,Mercedes-Benz M-Class ML 350 4Matic,2015,69000,Diesel,Automatic,First,0.0 kmpl,2987 CC,165 bhp,5.0,38000.0
